Quarter,gsl,entities,sumlevel,program_label,program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size
31-Dec-22,ZIPCODE,.,10,Housing Choice Vouchers,3,XXXXX,XXXXX,19030,84,16933,100,6,1,2.5,42805,15,916,16735,6620,12,16,29,11,33,31,4,56,-1,-1,-1,3,47,82,48,32,77,21,3,61,20,16,1,79,64,1,2,21,2,11,1,13,2,31,129,2,167,86,5,5,3,-1,-1,-1,NA,XXXXX,NA,NA,NA,,NA,NA
31-Dec-22,ZIPCODE,.,10,Summary of All HUD Programs,1,XXXXX,XXXXX,20621,84,17962,100,6,1,2.5,44772,32,913,16545,6638,12,16,29,11,32,30,4,57,0,0,0,3,47,82,47,31,71,20,3,59,20,18,1,79,61,1,2,21,2,11,2,15,1,32,128,7,126,83,6,6,3,-1,-1,-1,NA,XXXXX,NA,NA,NA,,NA,NA
31-Dec-22,ZIPCODE,90001,10,Housing Choice Vouchers,3,90001,90001,692,86,604,100,6,8,2.5,1489,510,1373,19264,7814,11,10,36,9,33,26,25,45,19,95,83,4,34,75,35,32,80,23,2,51,26,21,0,98,73,0,1,2,2,20,1,23,1,20,137,98,111,35,35,30,21,27,99,55,NA,31080,NA,NA,NA,,NA,NA
31-Dec-22,ZIPCODE,90001,10,Summary of All HUD Programs,1,90001,90001,827,87,728,100,6,8,2.4,1744,497,1328,18892,7886,11,10,37,9,33,27,22,46,19,95,84,4,34,75,34,28,62,20,2,50,25,23,1,96,69,1,1,2,2,21,3,25,1,22,141,94,106,38,34,27,18,27,99,54,NA,31080,NA,NA,NA,,NA,NA
31-Dec-22,ZIPCODE,90002,10,Housing Choice Vouchers,3,90002,90002,1313,84,1069,97,5,8,2.9,3047,568,1276,21799,7648,8,9,32,11,40,34,23,41,20,95,79,6,44,82,45,25,81,18,1,53,25,21,1,98,71,0,0,2,1,25,0,26,0,17,130,99,112,20,41,39,20,35,99,53,NA,31080,NA,NA,NA,,NA,NA
31-Dec-22,ZIPCODE,90002,10,Summary of All HUD Programs,1,90002,90002,2633,84,2164,98,5,5,2.7,5750,581,1096,22650,8524,7,9,34,10,40,35,20,43,22,94,77,6,40,80,41,21,60,17,1,48,23,28,2,98,61,0,0,1,1,33,2,36,0,20,147,96,95,23,42,35,18,39,99,46,NA,31080,NA,NA,NA,,NA,NA
31-Dec-22,ZIPCODE,90003,10,Housing Choice Vouchers,3,90003,90003,2669,83,2145,96,6,7,2.6,5631,584,1258,21977,8372,8,8,34,9,41,32,22,45,21,94,79,4,40,79,40,30,82,21,2,51,25,23,1,98,81,0,1,2,1,14,1,16,0,28,164,100,103,24,37,38,25,31,99,50,NA,31080,NA,NA,NA,,NA,NA
31-Dec-22,ZIPCODE,90003,10,Summary of All HUD Programs,1,90003,90003,2931,84,2381,97,6,7,2.6,6152,567,1245,21460,8306,9,9,34,9,39,31,23,45,21,95,79,4,41,79,42,29,80,21,2,52,24,22,1,98,81,0,1,2,1,13,1,16,0,28,158,93,101,26,38,35,24,31,99,50,NA,31080,NA,NA,NA,,NA,NA
31-Dec-22,ZIPCODE,90004,10,Housing Choice Vouchers,3,90004,90004,690,83,559,97,6,6,1.5,832,404,1269,15673,10530,15,5,49,10,21,14,19,65,17,97,89,2,12,52,12,68,81,55,1,28,28,44,2,77,33,1,7,23,1,35,1,36,0,12,124,93,39,79,16,6,7,21,91,11,NA,31080,NA,NA,NA,,NA,NA
31-Dec-22,ZIPCODE,90004,10,Summary of All HUD Programs,1,90004,90004,817,85,713,100,6,6,1.5,1057,402,1211,15779,10644,13,6,51,9,21,15,16,68,17,98,89,2,11,56,11,63,67,49,1,24,24,51,4,81,28,0,9,19,1,36,7,44,0,12,137,87,42,79,14,7,8,21,91,10,NA,31080,NA,NA,NA,,NA,NA
